Obs_Date_Local,Observatory,Name,Catalog,BJD0_JD,Eclipse_Time_UTC,Type,Altitude_deg,Period_days,RAJ2000,DEJ2000,Mag
2026-06-07,ETAMU,KIC 07877062,Kepler,2454964.778743,2026-06-08 03:43:08.352,Primary,36.0,0.3036515,285.89885,43.60342,13.83
2026-06-07,ETAMU,KIC 10135584,Kepler,2454964.964829,2026-06-08 03:44:13.346,Secondary,34.4,0.3912945,289.71311,47.13181,13.99
2026-06-07,ETAMU,KIC 11920266,Kepler,2454954.120756,2026-06-08 03:44:22.302,Primary,32.0,0.4674102,294.88039,50.26691,11.58
2026-06-07,ETAMU,KIC 04466691,Kepler,2454999.998987,2026-06-08 03:44:54.408,Primary,30.6,0.4826514,292.2793,39.50506,14.35
2026-06-07,ETAMU,KIC 06613627,Kepler,2455115.344848,2026-06-08 03:45:02.115,Primary,30.2,0.1507996,293.97654,42.04829,12.55
2026-06-07,ETAMU,KIC 09833618,Kepler,2454964.924093,2026-06-08 03:46:28.644,Secondary,32.5,1.4085018,292.96632,46.66282,13.68
2026-06-07,ETAMU,KIC 06671698,Kepler,2454954.077303,2026-06-08 03:48:58.177,Secondary,37.5,0.4715248,284.6989,42.14685,13.49
2026-06-07,ETAMU,KIC 10680475,Kepler,2454964.776534,2026-06-08 03:49:06.372,Secondary,30.6,0.3498321,297.22132,47.93898,14.26
2026-06-07,ETAMU,KIC 10861842,Kepler,2454964.817808,2026-06-08 03:49:31.164,Primary,34.0,0.4719432,292.07177,48.23831,14.29
2026-06-07,ETAMU,KIC 12153332,Kepler,2454953.871096,2026-06-08 03:50:54.644,Primary,37.4,0.2946266,287.90616,50.76628,13.08
2026-06-07,ETAMU,KIC 08285970,Kepler,2454964.764619,2026-06-08 03:52:51.902,Secondary,37.8,0.5624879,285.95873,44.25474,14.79
2026-06-07,ETAMU,KIC 12508348,Kepler,2454951.660784,2026-06-08 03:53:19.917,Primary,36.5,0.2556047,290.17351,51.41515,13.43
2026-06-07,ETAMU,KIC 12071741,Kepler,2454964.817555,2026-06-08 03:53:26.838,Secondary,32.5,0.3142642,296.39524,50.59921,14.82
2026-06-07,ETAMU,KIC 07432479,Kepler,2455000.077595,2026-06-08 03:55:44.447,Primary,36.8,0.4084587,287.71483,43.02622,14.54
2026-06-07,ETAMU,KIC 06934587,Kepler,2454954.476823,2026-06-08 03:56:16.523,Secondary,37.3,1.5709187,286.99765,42.46514,13.41
2026-06-07,ETAMU,KIC 10280990,Kepler,2454964.918637,2026-06-08 03:56:31.898,Primary,33.4,0.3844574,294.52299,47.36858,14.32
