time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1354.1115072617192,0.9997733865879622,0.0005428106254728526,3.2845002e-03,91190,1638.57401,468.04924,45699.73046875,24.58583641052246,2.1270193e+03,7.5499601e+00,47745.6875,25.922740936279297,0,,,,,1638.57401,5.5316015e-04,468.04924,5.7710981e-04,-1.2000147e-01,7.8144908e-02
1354.1128961919705,1.0005374349120353,0.0005428030370573252,3.2845421e-03,91191,1638.58778,468.04160,45753.09375,24.585493087768555,2.1165220e+03,7.5075278e+00,47782.17578125,25.922378540039062,0,,,,,1638.58778,5.5368309e-04,468.04160,5.7716778e-04,-1.0294508e-01,6.7404680e-02
1354.1142851224547,0.9995922103715164,0.0005428118635827543,3.2845843e-03,91192,1638.58725,468.03821,45719.25,24.585893630981445,2.1220544e+03,7.5287137e+00,47737.03515625,25.922800064086914,0,,,,,1638.58725,5.5385107e-04,468.03821,5.7766296e-04,-1.0323820e-01,6.3302755e-02
1354.117062983188,0.9996470131096737,0.0005427773562616197,3.2846683e-03,91194,1638.58337,468.02563,45696.86328125,24.584331512451172,2.1406106e+03,7.5460734e+00,47739.65234375,25.921152114868164,0,,,,,1638.58337,5.5345549e-04,468.02563,5.7999988e-04,-1.0774896e-01,5.0843615e-02
1354.1184519134392,1.0000694849642757,0.0005429298834137181,3.2847102e-03,91195,1638.59648,468.05560,45737.140625,24.59123992919922,2.1321707e+03,7.5400863e+00,47759.828125,25.928436279296875,0,,,,,1638.59648,5.5386929e-04,468.05560,5.7663023e-04,-9.3161479e-02,8.3432972e-02
1354.1198408439234,0.9993966382119126,0.0005427066242410997,3.2847524e-03,91196,1638.59691,468.04240,45714.66796875,24.58112907409668,2.1199805e+03,7.5265331e+00,47727.6953125,25.917774200439453,0,,,,,1638.59691,5.5403763e-04,468.04240,5.7726464e-04,-9.2094876e-02,6.8144821e-02
1354.1212297741743,0.9997342885150678,0.000542772164187838,3.2847943e-03,91197,1638.59657,468.04020,45730.6875,24.584095001220703,2.1182432e+03,7.5189238e+00,47743.8203125,25.9209041595459,0,,,,,1638.59657,5.5452809e-04,468.04020,5.7684036e-04,-9.1556683e-02,6.7030065e-02
1354.1226187044247,0.9999927611308553,0.0005430311687914929,3.2848362e-03,91198,1638.59394,468.03319,45747.0234375,24.595827102661133,2.1307397e+03,7.5524945e+00,47756.1640625,25.933273315429688,0,,,,,1638.59394,5.5433990e-04,468.03319,5.7723687e-04,-9.4503127e-02,5.9139974e-02
1354.1240076349084,0.9995414973899377,0.0005428158974246925,3.2848783e-03,91199,1638.59738,468.03591,45723.26953125,24.586076736450195,2.1308853e+03,7.5318241e+00,47734.61328125,25.922992706298828,0,,,,,1638.59738,5.5402983e-04,468.03591,5.7723239e-04,-9.1448054e-02,6.1672445e-02
1354.1253965651597,1.0001833437874326,0.0005428930196898672,3.2849202e-03,91200,1638.59647,468.03297,45760.6796875,24.589569091796875,2.1232820e+03,7.5216131e+00,47765.265625,25.92667579650879,0,,,,,1638.59647,5.5410445e-04,468.03297,5.7708187e-04,-9.0680093e-02,5.7972848e-02
1354.1267854956438,0.9992943942974397,0.0005429238526203254,3.2849624e-03,91201,1638.59652,468.03596,45717.45703125,24.59096336364746,2.1371758e+03,7.5357456e+00,47722.8125,25.92814826965332,0,,,,,1638.59652,5.5487308e-04,468.03596,5.7744246e-04,-9.0857424e-02,6.0575247e-02
1354.1281744258938,1.0000824903901968,0.0005429581203072855,3.2850043e-03,91202,1638.59735,468.03178,45759.67578125,24.592517852783203,2.1351812e+03,7.5280271e+00,47760.44921875,25.929784774780273,0,,,,,1638.59735,5.5438554e-04,468.03178,5.7703361e-04,-9.0477727e-02,5.6307834e-02
1354.1295633561442,0.9998748125511193,0.0005431781843575767,3.2850462e-03,91203,1638.59330,468.02561,45739.88671875,24.60248565673828,2.1232249e+03,7.5795455e+00,47750.53125,25.94029426574707,0,,,,,1638.59330,5.5416906e-04,468.02561,5.7743292e-04,-9.4577037e-02,4.9902860e-02
1354.1309522863955,1.0002635030163793,0.000543063279770882,3.2850881e-03,91204,1638.59874,468.03395,45754.8125,24.597280502319336,2.1371917e+03,7.5417013e+00,47769.09375,25.93480682373047,0,,,,,1638.59874,5.5395212e-04,468.03395,5.7745568e-04,-9.0097331e-02,6.0000945e-02
1354.1323412168797,0.9995053439417801,0.0005428454922452489,3.2851303e-03,91205,1638.59600,468.03270,45723.484375,24.587417602539062,2.1312644e+03,7.5361643e+00,47732.88671875,25.924406051635742,0,,,,,1638.59600,5.5437186e-04,468.03270,5.7775259e-04,-9.1831371e-02,5.7807885e-02
1354.1337301471306,1.000110546120328,0.0005430287724497474,3.2851722e-03,91206,1638.59911,468.03353,45750.65625,24.595718383789062,2.1357717e+03,7.5459156e+00,47761.7890625,25.93315887451172,0,,,,,1638.59911,5.5426394e-04,468.03353,5.7717599e-04,-8.8792332e-02,6.0062159e-02
1354.1351190773805,1.0003865228942732,0.0005428855910304562,3.2852141e-03,91207,1638.59602,468.03338,45761.8046875,24.5892333984375,2.1261599e+03,7.5205102e+00,47774.96875,25.926321029663086,0,,,,,1638.59602,5.5404037e-04,468.03338,5.7721144e-04,-9.1531798e-02,5.8055166e-02
1354.1365080078647,1.0006683071225604,0.000543145793804984,3.2852562e-03,91208,1638.60037,468.03223,45780.375,24.60101890563965,2.1328123e+03,7.5304360e+00,47788.42578125,25.93874740600586,0,,,,,1638.60037,5.5440451e-04,468.03223,5.7739555e-04,-8.6759038e-02,5.8120605e-02
1354.137896938116,1.0005609919099299,0.0005430580876971001,3.2852981e-03,91209,1638.59536,468.03096,45773.42578125,24.597047805786133,2.1325159e+03,7.5345349e+00,47783.30078125,25.934558868408203,0,,,,,1638.59536,5.5406481e-04,468.03096,5.7726889e-04,-9.1390796e-02,5.4840941e-02
1354.1392858683673,0.9998381683321722,0.0005430631200147656,3.2853400e-03,91210,1638.59710,468.03119,45738.015625,24.597272872924805,2.1374456e+03,7.5453563e+00,47748.78125,25.934799194335938,0,,,,,1638.59710,5.5436319e-04,468.03119,5.7774381e-04,-8.9951061e-02,5.4752789e-02
1354.1406747986182,0.9990536712252047,0.0005426075754489541,3.2853819e-03,91211,1638.59822,468.03507,45698.8828125,24.576641082763672,2.1279197e+03,7.5270777e+00,47711.31640625,25.913043975830078,0,,,,,1638.59822,5.5394607e-04,468.03507,5.7755999e-04,-9.0719283e-02,6.0624752e-02
1354.1420637288682,1.0012601766946612,0.000543041752634202,3.2854239e-03,91212,1638.59642,468.01810,45793.0234375,24.596303939819336,2.1205610e+03,7.5255647e+00,47816.69140625,25.933778762817383,0,,,,,1638.59642,5.5452349e-04,468.01810,5.7747250e-04,-8.8876277e-02,4.1835025e-02
1354.1434526593523,1.0000749652380914,0.0005429230538397436,3.2854660e-03,91213,1638.59851,468.04560,45733.55859375,24.59092903137207,2.1339717e+03,7.5318174e+00,47760.08984375,25.928110122680664,0,,,,,1638.59851,5.5477791e-04,468.04560,5.7721382e-04,-9.0099618e-02,7.1958452e-02
1354.1448415896036,1.0002687379048005,0.0005431146014232639,3.2855079e-03,91214,1638.59974,468.02929,45757.33984375,24.599605560302734,2.1275232e+03,7.5565524e+00,47769.34375,25.937257766723633,0,,,,,1638.59974,5.5445236e-04,468.02929,5.7708035e-04,-8.8643283e-02,5.3548899e-02
